target name,accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score,bias,hmm from,hmm to,ali from,ali to,env from,env to,acc,description of target
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,3,6,6.90E-18,2.10E-14,53.9,0,1,91,249,341,249,343,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,4,6,2.00E-09,5.90E-06,26.8,0,3,92,365,452,363,453,0.88,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,5,6,5.30E-19,1.60E-15,57.5,0,6,92,472,556,467,557,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,6,6,7.00E-09,2.10E-05,25.1,0,12,56,585,629,576,633,0.92,Cadherin domain
Cadherin_3,PF16184.9,111,A0A411DZ07,-,635,2.70E-10,40.4,4.1,1,4,0.0055,16,5.7,0.2,6,56,117,170,113,184,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ07,-,635,2.70E-10,40.4,4.1,2,4,2.50E-05,0.075,13.2,0.1,6,61,229,286,224,326,0.76,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ07,-,635,2.70E-10,40.4,4.1,3,4,9.40E-06,0.028,14.6,0,3,59,444,502,442,530,0.88,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ07,-,635,2.70E-10,40.4,4.1,4,4,0.0096,29,4.9,0,5,64,550,613,546,631,0.71,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ07,-,635,6.40E-08,32.5,0.1,1,5,3.90E-07,0.0012,18.9,0,3,82,22,107,20,108,0.73,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ07,-,635,6.40E-08,32.5,0.1,2,5,0.0045,14,5.9,0,40,61,289,310,284,314,0.84,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ07,-,635,6.40E-08,32.5,0.1,3,5,1.3,3.70E+03,-2,0,6,19,367,380,364,423,0.68,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ07,-,635,6.40E-08,32.5,0.1,4,5,6.1,1.80E+04,-4.2,0,55,65,518,528,513,528,0.77,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ07,-,635,6.40E-08,32.5,0.1,5,5,0.16,4.70E+02,0.9,0,38,57,609,628,604,632,0.81,Cadherin-like
PepSY,PF03413.23,60,A0A411DZ07,-,635,0.00012,22.5,0.1,1,5,0.31,9.30E+02,0.4,0,12,49,185,232,184,235,0.78,Peptidase propeptide and YPEB domain
PepSY,PF03413.23,60,A0A411DZ07,-,635,0.00012,22.5,0.1,2,5,0.00012,0.37,11.3,0,25,57,271,305,255,308,0.79,Peptidase propeptide and YPEB domain
PepSY,PF03413.23,60,A0A411DZ07,-,635,0.00012,22.5,0.1,3,5,0.53,1.60E+03,-0.3,0,43,54,316,327,315,327,0.87,Peptidase propeptide and YPEB domain
PepSY,PF03413.23,60,A0A411DZ07,-,635,0.00012,22.5,0.1,4,5,6.4,1.90E+04,-3.8,0,25,35,488,501,483,506,0.71,Peptidase propeptide and YPEB domain
PepSY,PF03413.23,60,A0A411DZ07,-,635,0.00012,22.5,0.1,5,5,0.039,1.20E+02,3.3,0,33,54,606,624,590,626,0.77,Peptidase propeptide and YPEB domain
Sde0182_C,PF21027.1,83,A0A411DZ07,-,635,0.048,14.4,0.1,1,3,0.4,1.20E+03,0.4,0,55,75,309,334,255,342,0.69,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ07,-,635,0.048,14.4,0.1,2,3,0.016,46,4.9,0,47,82,414,451,372,452,0.74,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ07,-,635,0.048,14.4,0.1,3,3,0.024,71,4.3,0,56,83,529,556,510,559,0.82,"Cellulose-binding protein Sde0182, C-terminal domain"
NID,PF07292.17,91,A0A411DZ07,-,635,0.074,13.8,1.2,1,2,0.00068,2,9.2,0.1,28,81,93,143,85,148,0.87,Nmi/IFP 35 domain (NID)
NID,PF07292.17,91,A0A411DZ07,-,635,0.074,13.8,1.2,2,2,0.086,2.60E+02,2.4,0.1,16,52,398,435,390,437,0.79,Nmi/IFP 35 domain (NID)
DUF4529,PF15032.10,406,A0A411DZ07,-,635,0.18,11,0,1,2,0.017,51,3,0,336,387,308,361,295,371,0.81,Protein of unknown function (DUF4529)
DUF4529,PF15032.10,406,A0A411DZ07,-,635,0.18,11,0,2,2,0.0029,8.5,5.5,0,310,368,497,555,485,567,0.79,Protein of unknown function (DUF4529)
PfkB,PF00294.28,302,A0A6C0PN34,-,345,6.80E-56,190,0,1,1,3.70E-60,7.70E-56,189.8,0,4,298,30,339,27,343,0.95,pfkB family carbohydrate kinase
Anoctamin,PF04547.16,460,A0A6C0PN38,-,916,3.70E-151,504.3,20.2,1,1,4.60E-155,4.80E-151,503.9,20.2,1,459,296,864,296,865,0.95,Calcium-activated chloride channel
Anoct_dimer,PF16178.9,224,A0A6C0PN38,-,916,1.50E-58,198.2,5.8,1,1,3.90E-62,4.00E-58,196.9,5.8,1,224,48,293,48,293,0.9,"Dimerisation domain of Ca+-activated chloride-channel, anoctamin"
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,1,7,2.00E-37,5.20E-34,117,0,5,127,88,211,84,211,0.95,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,2,7,9.10E-37,2.40E-33,114.8,0.1,1,127,237,375,237,375,0.98,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,3,7,2.10E-43,5.50E-40,136.3,0,1,127,434,559,434,559,0.99,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,4,7,2.90E-24,7.60E-21,74.4,0,3,127,588,730,586,730,0.85,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,5,7,7.60E-39,2.00E-35,121.5,0,1,127,790,923,790,923,0.95,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,6,7,3.30E-25,8.50E-22,77.5,0.1,4,127,956,1102,953,1102,0.93,Reelin subrepeat B
Reelin_subrepeat-B,PF21471.1,127,A0A6C0PN73,-,1307,6.10E-235,766.4,1,7,7,3.30E-37,8.60E-34,116.2,0,1,126,1160,1293,1160,1294,0.96,Reelin subrepeat B
EGF_2,PF07974.17,32,A0A6C0PN73,-,1307,2.10E-12,47.3,74.9,1,4,0.00017,0.44,11.2,14.2,1,32,3,30,3,30,0.89,EGF-like domain
EGF_2,PF07974.17,32,A0A6C0PN73,-,1307,2.10E-12,47.3,74.9,2,4,1.90E-07,0.0005,20.6,13.2,1,32,378,404,378,404,0.91,EGF-like domain
EGF_2,PF07974.17,32,A0A6C0PN73,-,1307,2.10E-12,47.3,74.9,3,4,5.70E-07,0.0015,19,11,1,32,733,759,733,759,0.89,EGF-like domain
EGF_2,PF07974.17,32,A0A6C0PN73,-,1307,2.10E-12,47.3,74.9,4,4,1.40E-05,0.036,14.6,12.5,1,32,1105,1131,1105,1131,0.96,EGF-like domain
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,1,6,2.80E-05,0.072,13.3,0.5,1,12,146,157,146,157,0.93,BNR/Asp-box repeat
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,2,6,0.0043,11,6.7,0,1,12,295,306,295,306,0.9,BNR/Asp-box repeat
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,3,6,0.00036,0.93,9.9,0.7,2,12,496,506,495,506,0.92,BNR/Asp-box repeat
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,4,6,0.0066,17,6.1,0.3,1,11,646,656,646,657,0.91,BNR/Asp-box repeat
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,5,6,0.039,1.00E+02,3.8,0.2,1,12,857,868,857,868,0.91,BNR/Asp-box repeat
BNR,PF02012.24,12,A0A6C0PN73,-,1307,1.70E-08,33.4,18.2,6,6,0.64,1.70E+03,0.1,0,1,11,1233,1243,1233,1244,0.9,BNR/Asp-box repeat
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,1,6,0.0057,15,5.8,0,33,51,141,159,137,173,0.85,Chitobiase/beta-hexosaminidase C-terminal domain
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,2,6,0.03,77,3.5,0,34,52,291,309,286,321,0.82,Chitobiase/beta-hexosaminidase C-terminal domain
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,3,6,0.0087,23,5.2,0,33,51,490,508,486,533,0.76,Chitobiase/beta-hexosaminidase C-terminal domain
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,4,6,0.0073,19,5.5,0.1,28,52,636,665,634,681,0.72,Chitobiase/beta-hexosaminidase C-terminal domain
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,5,6,6,1.60E+04,-3.9,0,35,48,854,867,852,869,0.83,Chitobiase/beta-hexosaminidase C-terminal domain
CHB_HEX_C,PF03174.17,75,A0A6C0PN73,-,1307,2.40E-07,30.8,3.4,6,6,0.0099,26,5,0,25,50,1220,1245,1217,1260,0.84,Chitobiase/beta-hexosaminidase C-terminal domain
Phage_BR0599,PF09356.14,80,A0A6C0PN73,-,1307,0.033,14.7,0.1,1,2,0.028,72,4,0,45,62,991,1008,966,1023,0.78,Phage conserved hypothetical protein BR0599
Phage_BR0599,PF09356.14,80,A0A6C0PN73,-,1307,0.033,14.7,0.1,2,2,0.0025,6.5,7.4,0,47,72,1204,1229,1186,1231,0.86,Phage conserved hypothetical protein BR0599
Ribosomal_S17_N,PF16205.9,67,A0A6C0PN73,-,1307,0.17,12.5,0.1,1,2,0.068,1.80E+02,2.8,0.1,28,55,353,379,342,382,0.71,Ribosomal_S17 N-terminal
Ribosomal_S17_N,PF16205.9,67,A0A6C0PN73,-,1307,0.17,12.5,0.1,2,2,0.006,16,6.2,0,21,55,1072,1106,1064,1110,0.86,Ribosomal_S17 N-terminal
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,1,6,0.012,32,3.3,0.1,419,435,143,159,136,169,0.76,"Sortilin, neurotensin receptor 3,"
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,2,6,0.083,2.20E+02,0.6,0,420,435,293,308,283,316,0.83,"Sortilin, neurotensin receptor 3,"
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,3,6,0.16,4.10E+02,-0.3,0,382,394,497,509,494,515,0.81,"Sortilin, neurotensin receptor 3,"
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,4,6,0.16,4.10E+02,-0.3,0.1,420,433,644,657,638,661,0.86,"Sortilin, neurotensin receptor 3,"
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,5,6,1,2.70E+03,-3,0,417,434,852,869,847,875,0.79,"Sortilin, neurotensin receptor 3,"
Sortilin-Vps10,PF15902.9,446,A0A6C0PN73,-,1307,2.9,6.8,5.8,6,6,0.47,1.20E+03,-1.9,0,421,432,1232,1243,1218,1252,0.8,"Sortilin, neurotensin receptor 3,"
EGF_Tenascin,PF18720.5,29,A0A6C0PN73,-,1307,4.7,7.6,53.9,1,4,7.5,1.90E+04,-4,11.6,6,28,7,30,2,31,0.76,Tenascin EGF domain
EGF_Tenascin,PF18720.5,29,A0A6C0PN73,-,1307,4.7,7.6,53.9,2,4,1.10E-05,0.029,14.6,6.9,2,28,378,404,377,405,0.97,Tenascin EGF domain
EGF_Tenascin,PF18720.5,29,A0A6C0PN73,-,1307,4.7,7.6,53.9,3,4,0.0003,0.77,10.1,4.6,6,24,737,755,732,760,0.84,Tenascin EGF domain
EGF_Tenascin,PF18720.5,29,A0A6C0PN73,-,1307,4.7,7.6,53.9,4,4,0.012,32,4.9,6.9,2,28,1105,1131,1104,1132,0.86,Tenascin EGF domain
