qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
comp147119_c0_seq1,tr|A0A0L8HIE8|A0A0L8HIE8_OCTBM,100.0,90,0,0,1167,1436,1,90,2.72e-57,"189
"
comp159698_c0_seq4,tr|A0A0L8FQ29|A0A0L8FQ29_OCTBM,98.828,256,3,0,1345,2112,9,264,3.73e-170,"488
"
comp159698_c0_seq4,tr|A0A0L8FQ05|A0A0L8FQ05_OCTBM,100.0,80,0,0,836,1075,1,80,9.7e-47,"159
"
comp84209_c0_seq1,tr|A0A0L8FTB6|A0A0L8FTB6_OCTBM,100.0,292,0,0,93,968,1,292,0.0,"556
"
comp150364_c0_seq1,tr|A0A0L8H8A7|A0A0L8H8A7_OCTBM,100.0,208,0,0,991,1614,22,229,2.87e-146,"429
"
comp165167_c0_seq2,tr|A0A0L8HSL7|A0A0L8HSL7_OCTBM,100.0,698,0,0,134,2227,1,698,0.0,"1361
"
comp165167_c0_seq2,tr|A0A0L8HSL7|A0A0L8HSL7_OCTBM,98.182,55,1,0,3327,3491,729,783,7.06e-27,"119
"
comp165167_c0_seq2,tr|A0A0L8HSL7|A0A0L8HSL7_OCTBM,96.875,32,1,0,2694,2789,698,729,1.43e-09,"63.2
"
comp165167_c0_seq2,tr|A0A0L8HTY4|A0A0L8HTY4_OCTBM,100.0,279,0,0,5466,4630,1,279,1.26e-179,"550
"
comp147599_c0_seq2,tr|A0A0L8GC09|A0A0L8GC09_OCTBM,100.0,291,0,0,465,1337,1,291,0.0,"603
"
comp161366_c0_seq1,tr|A0A0L8I0F8|A0A0L8I0F8_OCTBM,100.0,1468,0,0,133,4536,1,1468,0.0,"2967
"
comp170320_c0_seq1,tr|A0A0L8FHB2|A0A0L8FHB2_OCTBM,100.0,355,0,0,221,1285,1,355,0.0,"713
"
comp50699_c0_seq1,tr|A0A0L8HTQ3|A0A0L8HTQ3_OCTBM,100.0,93,0,0,2,280,27,119,5.51e-63,"192
"
comp165480_c1_seq4,tr|A0A0L8FU01|A0A0L8FU01_OCTBM,100.0,1348,0,0,60,4103,1,1348,0.0,"2546
"
comp165480_c1_seq4,tr|A0A0L8I9W5|A0A0L8I9W5_OCTBM,100.0,471,0,0,4203,5615,1,471,0.0,"957
"
comp174556_c0_seq1,tr|A0A0L8IB88|A0A0L8IB88_OCTBM,100.0,125,0,0,173,547,1,125,6.67e-88,"260
"
comp174556_c0_seq1,tr|A0A0L8IBF4|A0A0L8IBF4_OCTBM,100.0,122,0,0,668,1033,1,122,2.24e-83,"248
"
comp179469_c0_seq1,tr|A0A0L8GXL4|A0A0L8GXL4_OCTBM,96.102,667,4,1,113,2113,1,645,0.0,"1169
"
comp206032_c0_seq1,tr|A0A0L8HB34|A0A0L8HB34_OCTBM,100.0,42,0,0,83,208,1,42,1.34e-23,"89.7
"
comp179020_c0_seq1,tr|A0A0L8FLL0|A0A0L8FLL0_OCTBM,100.0,327,0,0,128,1108,1,327,0.0,"685
"
comp146050_c0_seq2,tr|A0A0L8I3Y0|A0A0L8I3Y0_OCTBM,97.394,307,8,0,156,1076,1,307,0.0,"607
"
comp133207_c1_seq1,tr|A0A0L8GAE2|A0A0L8GAE2_OCTBM,99.754,407,1,0,359,1579,1,407,0.0,"806
"
comp133207_c1_seq1,tr|A0A0L8I6J9|A0A0L8I6J9_OCTBM,99.565,230,1,0,1577,2266,3,232,4.37e-149,"435
"
comp172558_c0_seq1,tr|A0A0L8GGI4|A0A0L8GGI4_OCTBM,100.0,353,0,0,133,1191,1,353,0.0,"703
"
comp150606_c1_seq1,tr|A0A0L8G7L2|A0A0L8G7L2_OCTBM,100.0,346,0,0,768,1805,1,346,0.0,"688
"
comp150606_c1_seq1,tr|A0A0L8IG83|A0A0L8IG83_OCTBM,100.0,315,0,0,3684,2740,1,315,0.0,"653
"
comp150606_c1_seq1,tr|A0A0L8FFK0|A0A0L8FFK0_OCTBM,99.083,109,1,0,297,623,1,109,3.59e-72,"235
"
comp155059_c0_seq3,tr|A0A0L8G5X0|A0A0L8G5X0_OCTBM,99.39,164,1,0,2239,2730,54,217,1.63e-87,"278
"
comp155059_c0_seq3,tr|A0A0L8G5X0|A0A0L8G5X0_OCTBM,100.0,54,0,0,922,1083,1,54,4.49e-27,"109
"
comp150900_c0_seq7,tr|A0A0L8ICW9|A0A0L8ICW9_OCTBM,100.0,89,0,0,595,861,1,89,4.83e-45,"164
"
comp161365_c0_seq1,tr|A0A0L8GDB3|A0A0L8GDB3_OCTBM,99.697,660,0,1,1393,3366,19,678,0.0,"1097
"
comp161365_c0_seq1,tr|A0A0L8GD24|A0A0L8GD24_OCTBM,100.0,57,0,0,1112,1282,1,57,3.48e-31,"116
"
comp67200_c0_seq1,tr|A0A0L8H831|A0A0L8H831_OCTBM,100.0,429,0,0,24,1310,162,590,0.0,"736
"
comp163431_c0_seq5,tr|A0A0L8HJ17|A0A0L8HJ17_OCTBM,100.0,409,0,0,897,2123,1,409,0.0,"847
"
comp174329_c0_seq1,tr|A0A0L8FVL2|A0A0L8FVL2_OCTBM,100.0,304,0,0,224,1135,1,304,0.0,"510
"
comp173025_c0_seq1,tr|A0A0L8GIS6|A0A0L8GIS6_OCTBM,100.0,100,0,0,711,1010,1,100,2.41e-69,"213
"
comp74843_c0_seq1,tr|A0A0L8GSK5|A0A0L8GSK5_OCTBM,100.0,102,0,0,176,481,1,102,1.43e-71,"213
"
comp157715_c0_seq4,tr|A0A0L8GE87|A0A0L8GE87_OCTBM,100.0,236,0,0,421,1128,67,302,1.41e-170,"489
"
comp157715_c0_seq4,tr|A0A0L8GEI4|A0A0L8GEI4_OCTBM,100.0,51,0,0,1781,1629,1,51,2.24e-27,"104
"
comp166071_c0_seq12,tr|A0A0L8FWD3|A0A0L8FWD3_OCTBM,97.41,502,13,0,692,2197,1,502,0.0,"986
"
comp166071_c0_seq12,tr|A0A0L8HKS8|A0A0L8HKS8_OCTBM,99.634,273,1,0,2303,3121,20,292,0.0,"557
"
comp167371_c0_seq1,tr|A0A0L8I869|A0A0L8I869_OCTBM,100.0,114,0,0,35,376,469,582,3.08e-59,"204
"
comp152408_c0_seq1,tr|A0A0L8I0B7|A0A0L8I0B7_OCTBM,99.824,567,1,0,2143,3843,3,569,0.0,"1100
"
comp152408_c0_seq1,tr|A0A0L8FQC4|A0A0L8FQC4_OCTBM,98.941,472,5,0,751,2166,1,472,0.0,"864
"
comp152408_c0_seq1,tr|A0A0L8FFU8|A0A0L8FFU8_OCTBM,100.0,167,0,0,250,750,1,167,1.14e-109,"342
"
comp163937_c1_seq9,tr|A0A0L8IDM1|A0A0L8IDM1_OCTBM,99.64,278,1,0,168,1001,1,278,3.69e-154,"464
"
comp163937_c1_seq9,tr|A0A0L8IDP7|A0A0L8IDP7_OCTBM,99.291,141,1,0,1287,1709,4,144,2e-81,"262
"
comp101574_c0_seq1,tr|A0A0L8GL42|A0A0L8GL42_OCTBM,100.0,673,0,0,183,2201,1,673,0.0,"1383
"
comp47657_c0_seq1,tr|A0A0L8HVF9|A0A0L8HVF9_OCTBM,99.029,103,1,0,1262,1570,1,103,2.35e-67,"215
"
comp47657_c0_seq1,tr|A0A0L8HVJ4|A0A0L8HVJ4_OCTBM,100.0,53,0,0,1013,1171,1,53,7.72e-31,"114
"
comp148311_c0_seq1,tr|A0A0L8IB79|A0A0L8IB79_OCTBM,100.0,181,0,0,287,829,1,181,1.61e-133,"376
"
comp134623_c1_seq1,tr|A0A0L8HR49|A0A0L8HR49_OCTBM,100.0,127,0,0,942,1322,32,158,4.49e-86,"268
"
comp221835_c0_seq1,tr|A0A0L8FI48|A0A0L8FI48_OCTBM,97.283,184,1,1,628,1179,1,180,3.18e-106,"331
"
comp145347_c1_seq2,tr|A0A0L8HAH1|A0A0L8HAH1_OCTBM,99.578,237,1,0,232,942,1,237,2.69e-169,"471
"
comp7026371_c0_seq1,tr|A0A0L8GIY8|A0A0L8GIY8_OCTBM,100.0,41,0,0,1,123,167,207,2.16e-24,"90.1
"
comp1153476_c0_seq1,tr|A0A0L8IF33|A0A0L8IF33_OCTBM,100.0,83,0,0,1,249,25,107,2.84e-53,"168
"
comp166188_c0_seq49,tr|A0A0L8FTG8|A0A0L8FTG8_OCTBM,100.0,60,0,0,2,181,3,62,1.58e-19,"82.0
"
comp149591_c0_seq1,tr|A0A0L8ID83|A0A0L8ID83_OCTBM,100.0,341,0,0,370,1392,1,341,0.0,"701
"
comp130491_c0_seq2,tr|A0A0L8FQD3|A0A0L8FQD3_OCTBM,100.0,233,0,0,507,1205,1,233,1.21e-173,"484
"
comp106216_c0_seq1,tr|A0A0L8H2E2|A0A0L8H2E2_OCTBM,100.0,525,0,0,72,1646,1,525,0.0,"954
"
comp158688_c0_seq5,tr|A0A0L8G585|A0A0L8G585_OCTBM,98.646,1034,2,1,877,3978,1,1022,0.0,"1870
"
comp195625_c0_seq1,tr|A0A0L8H8C1|A0A0L8H8C1_OCTBM,100.0,59,0,0,558,734,1,59,1.04e-34,"120
"
comp95745_c0_seq1,tr|A0A0L8GTV4|A0A0L8GTV4_OCTBM,99.187,369,3,0,205,1311,1,369,0.0,"749
"
comp143914_c0_seq3,tr|A0A0L8HKL0|A0A0L8HKL0_OCTBM,100.0,404,0,0,1279,2490,1,404,0.0,"838
"
comp160936_c1_seq3,tr|A0A0L8I9M8|A0A0L8I9M8_OCTBM,100.0,379,0,0,440,1576,6,384,0.0,"729
"
comp165807_c0_seq4,tr|A0A0L8IHT7|A0A0L8IHT7_OCTBM,98.732,1025,1,1,149,3223,17,1029,0.0,"1802
"
comp165807_c0_seq4,tr|A0A0L8IHP6|A0A0L8IHP6_OCTBM,99.438,178,1,0,3557,4090,1,178,2.14e-120,"376
"
comp165807_c0_seq4,tr|A0A0L8IHS1|A0A0L8IHS1_OCTBM,100.0,68,0,0,4172,4375,1,68,1.58e-26,"103
"
comp106338_c0_seq2,tr|A0A0L8GD80|A0A0L8GD80_OCTBM,100.0,480,0,0,1,1440,671,1150,0.0,"923
"
comp135203_c0_seq1,tr|A0A0L8HLU9|A0A0L8HLU9_OCTBM,100.0,195,0,0,294,878,1,195,1.5e-142,"399
"
comp160856_c2_seq5,tr|A0A0L8H6F3|A0A0L8H6F3_OCTBM,100.0,152,0,0,762,1217,41,192,6.51e-104,"318
"
comp103659_c0_seq2,tr|A0A0L8I6V0|A0A0L8I6V0_OCTBM,100.0,444,0,0,563,1894,1,444,0.0,"897
"
comp161383_c0_seq1,tr|A0A0L8GEZ5|A0A0L8GEZ5_OCTBM,100.0,363,0,0,3453,4541,1,363,0.0,"586
"
comp161383_c0_seq1,tr|A0A0L8IEE0|A0A0L8IEE0_OCTBM,100.0,161,0,0,4734,5216,3,163,3.21e-107,"338
"
comp190166_c0_seq1,tr|A0A0L8FSV1|A0A0L8FSV1_OCTBM,100.0,316,0,0,53,1000,1,316,0.0,"619
"
comp60966_c0_seq1,tr|A0A0L8GDF1|A0A0L8GDF1_OCTBM,100.0,569,0,0,856,2562,1,569,0.0,"1087
"
comp123286_c0_seq1,tr|A0A0L8HL24|A0A0L8HL24_OCTBM,100.0,238,0,0,3,716,445,682,1.17e-170,"490
"
comp158568_c0_seq2,tr|A0A0L8G0Q4|A0A0L8G0Q4_OCTBM,100.0,423,0,0,454,1722,1,423,0.0,"812
"
comp158568_c0_seq2,tr|A0A0L8G126|A0A0L8G126_OCTBM,100.0,296,0,0,3541,4428,1,296,0.0,"609
"
comp158568_c0_seq2,tr|A0A0L8GG34|A0A0L8GG34_OCTBM,99.01,101,1,0,151,453,1,101,2.66e-52,"178
"
comp161665_c3_seq5,tr|A0A0L8HRP7|A0A0L8HRP7_OCTBM,100.0,233,0,0,62,760,1,233,2.26e-163,"460
"
comp43312_c0_seq1,tr|A0A0L8HUA8|A0A0L8HUA8_OCTBM,100.0,162,0,0,201,686,8,169,4.4e-109,"312
"
comp130888_c0_seq3,tr|A0A0L8G7Z1|A0A0L8G7Z1_OCTBM,99.37,952,0,1,78,2933,1,946,0.0,"1770
"
comp168951_c0_seq1,tr|A0A0L8H7J1|A0A0L8H7J1_OCTBM,100.0,300,0,0,117,1016,1,300,0.0,"582
"
comp165857_c1_seq1,tr|A0A0L8HJR7|A0A0L8HJR7_OCTBM,100.0,273,0,0,1997,2815,69,341,0.0,"570
"
comp165857_c1_seq1,tr|A0A0L8HJR7|A0A0L8HJR7_OCTBM,97.222,72,2,0,1484,1699,1,72,1.31e-38,"147
"
comp67737_c0_seq1,tr|A0A0L8GXP0|A0A0L8GXP0_OCTBM,100.0,552,0,0,350,2005,1,552,0.0,"1127
"
comp163688_c0_seq1,tr|A0A0L8FG60|A0A0L8FG60_OCTBM,100.0,2166,0,0,515,7012,1,2166,0.0,"3272
"
comp162134_c0_seq3,tr|A0A0L8G1V8|A0A0L8G1V8_OCTBM,99.778,451,1,0,4817,6169,1,451,0.0,"921
"
comp162134_c0_seq3,tr|A0A0L8G1I6|A0A0L8G1I6_OCTBM,99.228,518,4,0,3309,1756,1,518,0.0,"856
"
comp163273_c0_seq1,tr|A0A0L8I8H6|A0A0L8I8H6_OCTBM,99.535,215,1,0,858,1502,232,446,0.0,"428
"
comp163273_c0_seq1,tr|A0A0L8I8H6|A0A0L8I8H6_OCTBM,99.574,235,1,0,149,853,1,235,0.0,"397
"
comp159046_c0_seq1,tr|A0A0L8HKG8|A0A0L8HKG8_OCTBM,100.0,538,0,0,231,1844,1,538,0.0,"1095
"
comp166069_c0_seq3,tr|A0A0L8IHX2|A0A0L8IHX2_OCTBM,95.339,236,11,0,638,1345,22,257,2.03e-153,"451
"
comp164425_c0_seq70,tr|A0A0L8FN51|A0A0L8FN51_OCTBM,100.0,540,0,0,1819,3438,1,540,0.0,"1058
"
comp164425_c0_seq70,tr|A0A0L8FN51|A0A0L8FN51_OCTBM,97.849,93,2,0,3969,4247,537,629,2.24e-50,"190
"
comp155316_c0_seq2,tr|A0A0L8HJ00|A0A0L8HJ00_OCTBM,100.0,556,0,0,1168,2835,1,556,0.0,"1150
"
comp162150_c0_seq1,tr|A0A0L8G116|A0A0L8G116_OCTBM,100.0,90,0,0,27,296,1,90,1.54e-47,"155
"
comp162150_c0_seq1,tr|A0A0L8IIS7|A0A0L8IIS7_OCTBM,98.649,74,1,0,377,598,33,106,5.01e-47,"154
"
comp203547_c0_seq1,tr|A0A0L8IHA3|A0A0L8IHA3_OCTBM,100.0,158,0,0,242,715,1,158,6.89e-116,"328
"
comp181327_c0_seq1,tr|A0A0L8HN86|A0A0L8HN86_OCTBM,100.0,176,0,0,1238,1765,1,176,2.72e-127,"379
"
comp152102_c0_seq1,tr|A0A0L8H493|A0A0L8H493_OCTBM,100.0,1104,0,0,99,3410,1,1104,0.0,"1997
"
comp102591_c0_seq2,tr|A0A0L8GWS0|A0A0L8GWS0_OCTBM,100.0,260,0,0,696,1475,1,260,2.37e-174,"496
"
comp172868_c0_seq1,tr|A0A0L8GBR2|A0A0L8GBR2_OCTBM,100.0,164,0,0,355,846,15,178,1.92e-103,"300
"
comp124984_c0_seq1,tr|A0A0L8HTK6|A0A0L8HTK6_OCTBM,100.0,87,0,0,2,262,220,306,4.54e-55,"179
"
comp160039_c0_seq3,tr|A0A0L8FMV5|A0A0L8FMV5_OCTBM,100.0,261,0,0,350,1132,1,261,0.0,"544
"
comp102914_c0_seq2,tr|A0A0L8GMZ4|A0A0L8GMZ4_OCTBM,100.0,237,0,0,1,711,167,403,2.47e-173,"493
"
comp101359_c1_seq1,tr|A0A0L8GWF0|A0A0L8GWF0_OCTBM,100.0,326,0,0,233,1210,137,462,1.13e-172,"492
"
comp101359_c1_seq1,tr|A0A0L8ICN8|A0A0L8ICN8_OCTBM,100.0,19,0,0,49,105,1,19,4.77e-09,"44.3
"
comp154457_c0_seq4,tr|A0A0L8H6A7|A0A0L8H6A7_OCTBM,100.0,231,0,0,1388,2080,1,231,2.94e-167,"480
"
comp154457_c0_seq4,tr|A0A0L8H6T7|A0A0L8H6T7_OCTBM,99.091,110,1,0,266,595,1,110,4.78e-73,"232
"
comp141787_c0_seq3,tr|A0A0L8HJA3|A0A0L8HJA3_OCTBM,99.862,723,1,0,31,2199,1,723,0.0,"1479
"
comp148722_c1_seq1,tr|A0A0L8I666|A0A0L8I666_OCTBM,100.0,259,0,0,1126,1902,1,259,0.0,"518
"
comp148722_c1_seq1,tr|A0A0L8I591|A0A0L8I591_OCTBM,100.0,71,0,0,766,978,1,71,9.23e-43,"149
"
comp106260_c0_seq1,tr|A0A0L8HKT3|A0A0L8HKT3_OCTBM,100.0,201,0,0,1,603,87,287,1.23e-132,"378
"
comp2897501_c0_seq1,tr|A0A0L8H6S4|A0A0L8H6S4_OCTBM,100.0,68,0,0,1,204,29,96,4.29e-46,"143
"
comp164906_c2_seq3,tr|A0A0L8IEV4|A0A0L8IEV4_OCTBM,100.0,525,0,0,1642,3216,1,525,0.0,"1050
"
comp158034_c0_seq1,tr|A0A0L8FYK5|A0A0L8FYK5_OCTBM,100.0,433,0,0,103,1401,79,511,0.0,"829
"
comp150301_c0_seq1,tr|A0A0L8GBI1|A0A0L8GBI1_OCTBM,96.61,59,2,0,3,179,2,60,1.05e-33,"108
"
comp150301_c0_seq1,tr|A0A0L8GBI1|A0A0L8GBI1_OCTBM,100.0,35,0,0,194,298,55,89,1.05e-33,"53.9
"
comp167263_c0_seq1,tr|A0A0L8HF34|A0A0L8HF34_OCTBM,98.78,82,1,0,627,872,25,106,7.9e-54,"171
"
comp167263_c0_seq1,tr|A0A0L8FZ34|A0A0L8FZ34_OCTBM,100.0,67,0,0,426,626,1,67,1.57e-41,"139
"
comp169207_c0_seq1,tr|A0A0L8II42|A0A0L8II42_OCTBM,100.0,301,0,0,284,1186,1,301,0.0,"624
"
comp159157_c0_seq1,tr|A0A0L8IEY9|A0A0L8IEY9_OCTBM,100.0,317,0,0,45,995,87,403,0.0,"578
"
comp51560_c0_seq1,tr|A0A0L8HI74|A0A0L8HI74_OCTBM,96.689,302,2,1,395,1300,1,294,0.0,"597
"
comp168353_c0_seq1,tr|A0A0L8H8F1|A0A0L8H8F1_OCTBM,100.0,207,0,0,307,927,1,207,4.87e-138,"389
"
comp158132_c2_seq3,tr|A0A0L8GBC1|A0A0L8GBC1_OCTBM,100.0,584,0,0,303,2054,1,584,0.0,"1225
"
comp113861_c0_seq1,tr|A0A0L8FUF2|A0A0L8FUF2_OCTBM,100.0,207,0,0,916,1536,1,207,6.79e-152,"436
"
comp148030_c0_seq5,tr|A0A0L8ICW4|A0A0L8ICW4_OCTBM,98.273,579,1,2,388,2124,1,570,0.0,"1085
"
comp165813_c0_seq62,tr|A0A0L8GVL3|A0A0L8GVL3_OCTBM,98.97,971,9,1,692,3604,1,970,0.0,"1947
"
comp165813_c0_seq62,tr|A0A0L8GVL3|A0A0L8GVL3_OCTBM,98.381,247,4,0,3643,4383,958,1204,5.95e-142,"478
"
comp154771_c0_seq4,tr|A0A0L8FW84|A0A0L8FW84_OCTBM,98.517,472,7,0,173,1588,1,472,0.0,"865
"
comp154771_c0_seq4,tr|A0A0L8FW03|A0A0L8FW03_OCTBM,100.0,191,0,0,1637,2209,1,191,3.07e-97,"310
"
comp154771_c0_seq4,tr|A0A0L8HXP2|A0A0L8HXP2_OCTBM,100.0,105,0,0,3988,3674,1,105,1.15e-32,"122
"
comp154771_c0_seq4,tr|A0A0L8HXL8|A0A0L8HXL8_OCTBM,100.0,41,0,0,2973,3095,1,41,1.7e-13,"65.9
"
comp167778_c0_seq1,tr|A0A0L8HVW5|A0A0L8HVW5_OCTBM,100.0,231,0,0,242,934,1,231,7.97e-173,"484
"
